MO,97,Conc,180,Prod3,25,23,0
PO,29,Conc,535.8,Prod6,6,32,1
GR,167,Conv,408,Prod4,12,14,3
HE,91,Conv,132,Prod5,6,15,4
DE,131,Joff,1529.5,Prod1,23,10,4
QU,136,Conc,43.2,Prod3,6,34,4
ME,76,Nati,816,Prod4,24,21,7
FO,66,Conv,154,Prod5,7,13,9
BI,88,Conv,1493.5,Prod7,29,5,15
MO,117,Conv,194.4,Prod3,27,25,15
MO,10,Conv,1130.5,Prod1,17,23,16
ME,129,Conc,352.8,Prod2,28,21,16
OU,190,Conv,170,Prod4,5,28,16
BE,108,Nati,2053.9,Prod6,23,4,17
MO,13,Conv,50.4,Prod3,7,26,19
HE,151,Conc,198,Prod5,9,15,20
MI,35,Joff,108,Prod3,15,22,21
MO,184,Nati,616,Prod5,28,23,21
AI,34,Joff,412,Prod7,8,1,22
CR,20,Nati,598.5,Prod1,9,9,25
QU,134,Joff,731.5,Prod1,11,35,29
MA,155,Nati,198,Prod5,9,19,29
DE,42,Nati,1995,Prod1,30,10,30
AL,73,Conc,110,Prod5,5,2,30
NA,187,Joff,238,Prod4,7,27,31
MO,119,Nati,931,Prod1,14,23,32
CR,156,Nati,1263.5,Prod1,19,8,33
MO,64,Joff,618,Prod7,12,25,37
PH,74,Joff,138.6,Prod2,11,29,38
QU,125,Conc,625.1,Prod6,7,35,39
PI,58,Joff,163.8,Prod2,13,30,41
CE,163,Joff,1081.5,Prod7,21,7,44
MA,47,Joff,803.7,Prod6,9,20,45
QU,96,Conc,43.2,Prod3,6,35,47
MI,122,Joff,357.2,Prod6,4,22,48
AI,39,Joff,267.9,Prod6,3,1,51
NA,1,Conc,75.6,Prod2,6,27,53
DR,38,Joff,154,Prod5,7,11,53
OU,30,Conv,1390.5,Prod7,27,28,54
LA,41,Nati,57.6,Prod3,8,17,55
QU,127,Conc,798,Prod1,12,35,59
EL,182,Joff,616,Prod5,28,12,59
HE,100,Nati,189,Prod2,15,15,60
MO,164,Joff,598.5,Prod1,9,26,62
MO,175,Nati,1995,Prod1,30,25,63
AL,188,Conv,201.6,Prod2,16,2,64
LA,19,Conc,884,Prod4,26,17,69
DR,185,Conv,572,Prod5,26,11,71
AL,62,Nati,918,Prod4,27,2,72
MA,165,Joff,21.6,Prod3,3,20,72
DE,51,Conv,103,Prod7,2,10,77
AN,154,Conv,2500.4,Prod6,28,3,78
PO,16,Nati,154,Prod5,7,32,79
PO,93,Joff,978.5,Prod7,19,32,79
MO,32,Conv,864.5,Prod1,13,23,80
MO,133,Conv,782,Prod4,23,23,80
FO,172,Conc,51.5,Prod7,1,13,80
PL,49,Conv,86.4,Prod3,12,31,85
MA,147,Nati,138.6,Prod2,11,20,85
MO,101,Nati,37.8,Prod2,3,24,88
FO,12,Joff,1287.5,Prod7,25,13,89
PR,50,Nati,170,Prod4,5,33,90
CR,128,Joff,198,Prod5,9,9,90
EL,53,Conc,515,Prod7,10,12,91
QU,86,Conv,2232.5,Prod6,25,34,91
QU,37,Conc,824,Prod7,16,34,95
EL,81,Conc,721,Prod7,14,12,96
MA,115,Conv,1081.5,Prod7,21,20,96
MO,124,Conc,28.8,Prod3,4,26,97
DR,148,Conv,515,Prod7,10,11,97
MA,82,Joff,66,Prod5,3,20,99
MA,176,Joff,462,Prod5,21,20,99
PL,6,Conv,154.5,Prod7,3,31,100
MA,171,Joff,126,Prod2,10,20,102
OU,60,Conv,714,Prod4,21,28,103
HE,162,Joff,108,Prod3,15,16,104
GR,71,Joff,515,Prod7,10,14,105
DE,25,Conc,100.8,Prod2,8,10,106
GR,71,Joff,515,Prod7,10,14,105
DE,25,Conc,100.8,Prod2,8,10,106
GR,71,Joff,515,Prod7,10,14,105
DE,25,Conc,100.8,Prod2,8,10,106
GR,71,Joff,515,Prod7,10,14,105
DE,25,Conc,100.8,Prod2,8,10,106
GR,71,Joff,515,Prod7,10,14,105
DE,25,Conc,100.8,Prod2,8,10,106
GR,71,Joff,515,Prod7,10,14,105
DE,25,Conc,100.8,Prod2,8,10,106
